#data
data:
#scheme data
#path

#data
DATA:
#canon data:
#scheme data
#path

#data
Data:
#canon data:
#scheme data
#path

#data
data:,
#scheme data
#path ,

#data
data:%2C
#scheme data
#path %2C

#data
data:text
#scheme data
#path text

#data
data:test
#scheme data
#path test

#data
data:,
#scheme data
#path ,

#data
data:text/plain
#scheme data
#path text/plain

#data
data:text/plain,
#scheme data
#path text/plain,

#data
data:text/plain;charset=utf-16,
#scheme data
#path text/plain;charset=utf-16,

#data
data:text,abc
#scheme data
#path text,abc

#data
data:text/plain;charset=us-ascii;abc
#scheme data
#path text/plain;charset=us-ascii;abc

#data
data:text/plain;charset=us-ascii,abc
#scheme data
#path text/plain;charset=us-ascii,abc

#data
data:,a,b
#scheme data
#path ,a,b

#data
data:,foo bar
#canon 
data:,foo bar
#scheme data
#path 
,foo bar

#data
data:,abc#def
#scheme data
#path ,abc#def

#data
data:,abc#def#ghi
#scheme data
#path ,abc#def#ghi

#data
data:text / plain,abc
#canon
data:text / plain,abc
#scheme data
#path 
text / plain,abc

#data
data: text/plain ,abc
#canon 
data: text/plain ,abc
#scheme data
#path
 text/plain ,abc

#data
data:TEXT/PLAIN,ABC
#scheme data
#path TEXT/PLAIN,ABC

#data
data:text\plain,abc
#canon 
data:text\plain,abc
#scheme data
#path 
text\plain,abc

#data
data:text/./plain,abc
#scheme data
#path text/./plain,abc

#data
data:application/../text/plain,abc
#scheme data
#path application/../text/plain,abc

#data
data:;,test
#scheme data
#path ;,test

#data
data:text/plain;,abc
#scheme data
#path text/plain;,abc

#data
data:,A%20brief%20note
#scheme data
#path ,A%20brief%20note

#data
data:text/plain;charset,abc
#scheme data
#path text/plain;charset,abc

#data
data:text/plain; charset=us-ascii,abc
#canon
data:text/plain; charset=us-ascii,abc
#scheme data
#path
text/plain; charset=us-ascii,abc

#data
data:text/plain;charset=US-ASCII,test
#scheme data
#path text/plain;charset=US-ASCII,test

#data
data:;charset=UTF-8,Hello
#scheme data
#path ;charset=UTF-8,Hello

#data
data:text/plain;charset=iso-8859-1,%A1%A2
#canon data:text/plain;charset=iso-8859-1,%A1%A2
#scheme data
#path text/plain;charset=iso-8859-1,%A1%A2

#data
data:text/plain;charset=euc-jp,%A1%A2
#scheme data
#path text/plain;charset=euc-jp,%A1%A2

#data
data:text/plain;charset=iso-8859-7,%b8%f7%fe
#scheme data
#path text/plain;charset=iso-8859-7,%b8%f7%fe

#data
data:text/plain;charset=iso-8859-1;charset=euc-jp,%A1%A2
#scheme data
#path text/plain;charset=iso-8859-1;charset=euc-jp,%A1%A2

#data
data:text/plain;charset;charset=euc-jp,%A1%A2
#scheme data
#path text/plain;charset;charset=euc-jp,%A1%A2

#data
data:text/plain;CHARSET=us-ascii,abc
#scheme data
#path text/plain;CHARSET=us-ascii,abc

#data
data:text/plain;charset=us-ascii ,abc
#canon 
data:text/plain;charset=us-ascii ,abc
#scheme data
#path 
text/plain;charset=us-ascii ,abc

#data
data:text/plain;charset="us-ascii",abc
#canon data:text/plain;charset="us-ascii",abc
#scheme data
#path text/plain;charset="us-ascii",abc

#data
data:text/plain;charset="euc-jp",%A1%A2
#canon
data:text/plain;charset="euc-jp",%A1%A2
#scheme data
#path text/plain;charset="euc-jp",%A1%A2

#data
data:text/plain;charset='euc-jp',%A1%A2
#scheme data
#path text/plain;charset='euc-jp',%A1%A2

#data
data:text/plain;noncharset=euc-jp,%A1%A2
#scheme data
#path text/plain;noncharset=euc-jp,%A1%A2

#data
data:text/plain;noncharset=euc-jp;charset=iso-8859-1,%A1%A2
#scheme data
#path text/plain;noncharset=euc-jp;charset=iso-8859-1,%A1%A2

#data
data:text/plain;charset=%22euc-jp%22,%A1%A2
#scheme data
#path text/plain;charset=%22euc-jp%22,%A1%A2

#data
data:text/plain;charset="\euc-jp",%A1%A2
#canon data:text/plain;charset="\euc-jp",%A1%A2
#scheme data
#path text/plain;charset="\euc-jp",%A1%A2

#data
data:text/plain;x-data="#",abc
#canon data:text/plain;x-data="#",abc
#scheme data
#path text/plain;x-data="#",abc

#data
data:text/plain;x-title="Hello,%20FAIL";,PASS
#canon data:text/plain;x-title="Hello,%20FAIL";,PASS
#scheme data
#path text/plain;x-title="Hello,%20FAIL";,PASS

#data
data:t%65xt/plain;charset=euc-jp,%A1%A2
#canon data:t%65xt/plain;charset=euc-jp,%A1%A2
#scheme data
#path t%65xt/plain;charset=euc-jp,%A1%A2

